GEOID,Population,PopDensity
420034160002,710,0.014310996
420034171001,733,0.162979795
420034171003,599,0.157603791
420034172001,1285,0.097389359
420034220002,695,0.015776845
420034220003,830,0.052787666
420034230001,740,0.186422873
420034230002,1232,0.440136757
420034230003,752,0.32673491
420034240001,964,0.266822405
420034134003,1708,0.176843631
420034135003,1564,0.133075917
420034141011,2234,0.108638143
420034141013,891,0.049744189
420034142002,1012,0.072221128
420034190002,799,0.064573692
420034190003,1246,0.018265459
420034200001,1606,0.209117851
420034211001,1196,0.048259958
420034180001,1697,0.141606183
420034020003,1135,0.248252934
420034035001,740,0.04206326
420034035002,606,0.200308727
420034035003,1270,0.366071248
420034035004,747,0.19407235
420034035005,1050,0.277306796
420034040001,1449,0.024612456
420034050001,562,0.004093729
420034050002,561,0.00535668
420031401002,2439,0.446918571
420031401004,1916,1.002737116
420031402001,1058,0.249976373
420031402002,1465,0.435685141
420031403003,950,0.372133106
420031403004,657,0.269245743
420031404001,799,0.379678865
420031404002,609,0.305379493
420034886003,1083,0.015525088
420035644004,1372,0.021894063
420035213024,430,0.01428244
420035639001,683,0.165750549
420035624005,381,0.27467576
420031702004,1109,0.597518332
420035644002,1346,0.094792204
420035616002,682,0.081610088
420035240002,1116,0.187706566
420035236003,2482,0.161608743
420034845003,993,0.281472159
420035623006,320,0.258916435
420035623004,222,0.151443833
420031106002,945,0.414883108
420031204001,336,0.190766016
420035154013,708,0.338263961
420035616004,339,0.166147965
420035620003,466,0.20011251
420035629003,917,0.114123712
420034961021,1505,0.021693353
420034689002,923,0.128552606
420034761005,1585,0.349639551
420034736024,1052,0.230443516
420034803003,473,0.19741977
420034843001,1283,0.082696672
420034890011,744,0.211113539
420034900042,1964,0.047102444
420034950002,1497,0.007709202
420035213023,1572,0.044588105
420034980002,1288,0.052359597
420035211003,2084,0.079743566
420035213013,1046,0.031861219
420035237021,1817,0.054827953
420034689003,1339,0.401872805
420034690002,2175,0.105008343
420034761003,935,0.171854782
420034761004,1566,0.253954457
420034762001,692,0.218907676
420034762002,1253,0.146101151
420035214021,1402,0.072062292
420035231001,1051,0.025856563
420035232001,1491,0.090268936
420035237024,630,0.213953141
420035513002,1663,0.059018092
420035261011,621,0.013209865
420035261012,2546,0.010705491
420035262012,2408,0.054778827
420035240003,865,0.172736059
420035605002,1487,0.545081982
420030103001,2505,0.85951332
420030405002,1528,0.748579267
420030201001,1826,0.419653384
420030201002,1519,0.82727446
420034804003,1567,0.203813537
420034810001,583,0.2741259
420034810002,572,0.270510565
420034810003,1434,0.734537073
