,Budget,Cost,Block,DistTravel(mi),DesignatedPOD
675,250000,10000,972,7.110463799,39
676,250000,10000,973,6.757714263,39
677,250000,10000,974,6.246697254,39
678,250000,10000,975,6.051405974,39
679,250000,10000,976,5.903097512,39
680,250000,10000,977,5.830838742,39
681,250000,10000,979,5.413351358,39
682,250000,10000,980,4.27753381,39
683,250000,10000,981,3.826506496,39
684,250000,10000,988,5.012452125,17
685,250000,10000,1009,6.491836273,39
686,250000,10000,1010,6.881406625,39
687,250000,10000,1011,6.745168677,39
688,250000,10000,1012,6.930320498,39
689,250000,10000,1013,7.692001521,39
690,250000,10000,1014,7.752831312,39
691,250000,10000,1015,5.377917881,39
692,250000,10000,1016,4.267431665,39
693,250000,10000,1017,3.916727238,39
694,250000,10000,1018,6.255396607,39
695,250000,10000,1019,4.668511494,39
696,250000,10000,1020,4.124619223,39
697,250000,10000,1021,4.230181653,39
698,250000,10000,1022,3.871661906,39
699,250000,10000,1023,3.99859168,39
700,250000,10000,1025,5.175954192,39
701,250000,10000,1029,4.086543143,17
702,250000,10000,1038,5.63166002,39
703,250000,10000,1039,6.840564605,39
704,250000,10000,1044,4.076745122,17
705,250000,10000,1049,3.110204087,39
706,250000,10000,1051,6.307379997,17
707,250000,10000,1052,5.319742215,17
708,250000,10000,1063,7.595595148,39
709,250000,10000,1064,4.15030917,17
710,250000,10000,1070,3.002241781,17
711,250000,10000,1071,3.388421066,17
712,250000,10000,1072,3.251436904,17
713,250000,10000,1073,3.935276127,17
714,250000,10000,1074,2.006922059,39
715,250000,10000,1075,1.908906646,39
716,250000,10000,1076,2.031831508,39
717,250000,10000,1077,7.234413992,39
718,250000,10000,1082,2.267027076,17
719,250000,10000,1085,6.192203141,39
720,250000,10000,1095,3.306080152,17
721,250000,10000,1096,3.31354056,17
722,275000,10000,0,5.156997531,17
723,275000,10000,1,3.164102083,1
724,275000,10000,2,6.146933137,17
725,275000,10000,3,1.962165016,27
726,275000,10000,4,5.928945508,39
727,275000,10000,5,3.236026297,27
728,275000,10000,6,3.370164686,10
